CODESTAB,G1V,G1C,G2V,G2C,G3V,G3C,G4V,G4C,G5V,G5C,G6V,G6C,G7V,G7C,G8V,G8C,G9V,G9C,G10V,G10C,SCORE
3166597,0.0,6.0,0.0,8.0,0.0,2.0,0.0,1.0,1.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,355.0
0000057,0.0,23.0,0.0,3.0,0.0,2.0,1.0,1.0,0.0,31.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,7.0,354.0
2690764,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,353.0
3019012,2.0,34.0,0.0,1.0,0.0,16.0,0.0,0.0,0.0,21.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,11.0,352.0
2784882,0.0,7.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,3.0,351.0
2718324,2.0,32.0,2.0,1.0,0.0,5.0,1.0,0.0,1.0,28.0,4.0,0.0,7.0,2.0,0.0,4.0,0.0,0.0,1.0,11.0,350.0
2078066,1.0,7.0,3.0,3.0,0.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,348.0
3027813,16.0,892.0,2.0,0.0,24.0,492.0,4.0,0.0,4.0,740.0,0.0,19.0,0.0,18.0,0.0,54.0,0.0,1.0,4.0,292.0,346.0
2083035,1.0,12.0,6.0,4.0,0.0,1.0,4.0,3.0,0.0,16.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,2.0,4.0,345.0
2082314,4.0,236.0,6.0,6.0,2.0,73.0,8.0,1.0,0.0,137.0,0.0,5.0,0.0,1.0,2.0,10.0,0.0,1.0,7.0,67.0,344.0
2798220,0.0,65.0,0.0,2.0,2.0,18.0,0.0,0.0,0.0,36.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,32.0,342.0
2079542,56.0,4959.0,316.0,280.0,48.0,537.0,222.0,44.0,62.0,2843.0,57.0,272.0,47.0,122.0,15.0,411.0,0.0,5.0,104.0,803.0,335.0
2078597,35.0,1194.0,81.0,104.0,20.0,202.0,84.0,24.0,10.0,815.0,2.0,64.0,2.0,49.0,0.0,85.0,0.0,5.0,34.0,186.0,333.0
6936024,7.0,657.0,18.0,39.0,11.0,68.0,16.0,7.0,5.0,470.0,0.0,36.0,1.0,24.0,0.0,24.0,0.0,0.0,13.0,162.0,332.0
2823209,10.0,318.0,3.0,3.0,18.0,101.0,1.0,1.0,0.0,191.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,4.0,58.0,331.0
2789590,7.0,192.0,3.0,2.0,6.0,32.0,3.0,0.0,0.0,149.0,0.0,5.0,0.0,2.0,0.0,5.0,0.0,0.0,2.0,37.0,329.0
2089602,18.0,812.0,66.0,46.0,28.0,183.0,51.0,20.0,8.0,448.0,1.0,46.0,0.0,21.0,4.0,44.0,0.0,5.0,30.0,116.0,328.0
2089777,28.0,636.0,25.0,30.0,23.0,124.0,26.0,10.0,9.0,453.0,1.0,56.0,1.0,20.0,3.0,33.0,0.0,0.0,17.0,93.0,327.0
2082330,1.0,36.0,1.0,0.0,1.0,5.0,0.0,0.0,0.0,35.0,0.0,4.0,0.0,3.0,0.0,4.0,0.0,4.0,2.0,8.0,326.0
